S1	S2	S3	C1	C2	C3	c1	c2	c3
15	-1	-14	3	5	-8	13	-3	-10
17	-1	-16	7	9	-16	1	5	-6
15	1	-16	-5	5	0	5	5	-10
-1	13	-12	-9	3	6	-9	-1	10
-5	9	-4	3	3	-6	11	1	-12
11	5	-16	-9	3	6	-13	5	8
17	-1	-16	-11	7	4	-5	5	0
17	-1	-16	-9	15	-6	5	7	-12
13	1	-14	1	5	-6	-9	7	2
5	9	-14	-7	-1	8	-17	1	16
13	3	-16	1	3	-4	-5	5	0
7	9	-16	-15	3	12	-13	3	10
9	7	-16	1	-5	4	-7	1	6
11	3	-14	-5	9	-4	-1	5	-4
11	5	-16	-7	-3	10	-17	1	16
11	3	-14	3	-1	-2	-9	1	8
11	5	-16	-11	1	10	-3	5	-2
13	3	-16	-5	3	2	-7	3	4
5	9	-14	-5	1	4	-5	1	4
11	5	-16	-9	7	2	-13	3	10
15	1	-16	1	11	-12	11	-3	-8
7	7	-14	-3	9	-6	1	-3	2
13	3	-16	5	1	-6	-1	9	-8
13	3	-16	-1	11	-10	3	1	-4
7	7	-14	1	-1	0	3	7	-10
1	7	-8	5	1	-6	-7	3	4
13	1	-14	-9	3	6	-9	5	4
1	15	-16	-5	-5	10	7	-7	0
13	3	-16	3	9	-12	-3	5	-2
17	-1	-16	-1	-1	2	1	3	-4
11	5	-16	-5	-3	8	-3	-3	6
13	3	-16	-3	7	-4	-1	-1	2
15	1	-16	-1	5	-4	7	3	-10
15	1	-16	-9	-1	10	-5	5	0
9	7	-16	7	3	-10	-5	1	4
-15	5	10	-1	-7	8	-7	-1	8
11	5	-16	-1	-1	2	-1	-1	2
17	-1	-16	1	7	-8	15	-1	-14
13	3	-16	3	1	-4	-13	3	10
7	7	-14	-3	7	-4	-1	-1	2
3	9	-12	-15	9	6	-11	1	10
3	11	-14	-5	5	0	-15	3	12
13	3	-16	1	5	-6	3	-3	0
15	1	-16	-7	7	0	-3	5	-2
15	1	-16	1	9	-10	7	-1	-6
-3	13	-10	-15	-1	16	-17	3	14
-11	5	6	7	3	-10	1	-1	0
7	-1	-6	-3	3	0	-9	-1	10
17	-1	-16	-1	3	-2	-1	3	-2
9	5	-14	-1	-3	4	-9	9	0
-5	11	-6	-3	-7	10	-13	5	8
17	-1	-16	1	3	-4	9	3	-12
13	3	-16	-3	-1	4	-7	-5	12
-3	3	0	5	-5	0	5	3	-8
11	5	-16	1	1	-2	5	-1	-4
17	-1	-16	-3	11	-8	5	-1	-4
-3	5	-2	-7	-3	10	7	-1	-6
-11	9	2	-5	-3	8	-13	3	10
15	1	-16	-3	3	0	-3	-3	6
1	11	-12	-3	1	2	-15	5	10
-3	15	-12	-9	-5	14	-17	3	14
17	-1	-16	-9	3	6	-1	7	-6
7	5	-12	-9	-5	14	-3	-7	10
-3	13	-10	-5	1	4	9	-3	-6
7	-3	-4	5	3	-8	5	-1	-4
17	-1	-16	3	5	-8	1	-1	0
-15	15	0	-11	-1	12	-17	3	14
15	1	-16	5	11	-16	-13	7	6
17	-1	-16	-1	3	-2	1	5	-6
13	3	-16	-3	7	-4	-7	1	6
3	-3	0	-5	5	0	-1	3	-2
13	3	-16	1	3	-4	-11	9	2
15	1	-16	7	-7	0	3	3	-6
9	7	-16	-5	9	-4	15	-5	-10
