name,proportion,lichen,measure
Rock1Lichen1,0,WL,realism
Rock1Lichen1,100,NL,realism
Rock1Lichen2,0,WL,realism
Rock1Lichen2,100,NL,realism
Rock1Lichen3,0,WL,realism
Rock1Lichen3,100,NL,realism
Rock2Lichen1,0,WL,realism
Rock2Lichen1,100,NL,realism
Rock2Lichen2,0,WL,realism
Rock2Lichen2,100,NL,realism
Rock2Lichen3,0,WL,realism
Rock2Lichen3,100,NL,realism
Rock3Lichen1,0,WL,realism
Rock3Lichen1,100,NL,realism
Rock3Lichen2,0,WL,realism
Rock3Lichen2,100,NL,realism
Rock3Lichen3,0,WL,realism
Rock3Lichen3,100,NL,realism
Tiles1Lichen1,0,WL,realism
Tiles1Lichen1,100,NL,realism
Tiles1Lichen2,0,WL,realism
Tiles1Lichen2,100,NL,realism
Tiles1Lichen3,20,WL,realism
Tiles1Lichen3,80,NL,realism
Tiles2Lichen1,0,WL,realism
Tiles2Lichen1,100,NL,realism
Tiles2Lichen2,0,WL,realism
Tiles2Lichen2,100,NL,realism
Tiles2Lichen3,0,WL,realism
Tiles2Lichen3,100,NL,realism
Tiles3Lichen1,0,WL,realism
Tiles3Lichen1,100,NL,realism
Tiles3Lichen2,20,WL,realism
Tiles3Lichen2,80,NL,realism
Tiles3Lichen3,0,WL,realism
Tiles3Lichen3,100,NL,realism
Rock1Lichen1,0,WL,appeal
Rock1Lichen1,100,NL,appeal
Rock1Lichen2,0,WL,appeal
Rock1Lichen2,100,NL,appeal
Rock1Lichen3,0,WL,appeal
Rock1Lichen3,100,NL,appeal
Rock2Lichen1,0,WL,appeal
Rock2Lichen1,100,NL,appeal
Rock2Lichen2,20,WL,appeal
Rock2Lichen2,80,NL,appeal
Rock2Lichen3,0,WL,appeal
Rock2Lichen3,100,NL,appeal
Rock3Lichen1,10,WL,appeal
Rock3Lichen1,90,NL,appeal
Rock3Lichen2,0,WL,appeal
Rock3Lichen2,100,NL,appeal
Rock3Lichen3,20,WL,appeal
Rock3Lichen3,80,NL,appeal
Tiles1Lichen1,0,WL,appeal
Tiles1Lichen1,100,NL,appeal
Tiles1Lichen2,0,WL,appeal
Tiles1Lichen2,100,NL,appeal
Tiles1Lichen3,10,WL,appeal
Tiles1Lichen3,90,NL,appeal
Tiles2Lichen1,10,WL,appeal
Tiles2Lichen1,90,NL,appeal
Tiles2Lichen2,10,WL,appeal
Tiles2Lichen2,90,NL,appeal
Tiles2Lichen3,10,WL,appeal
Tiles2Lichen3,90,NL,appeal
Tiles3Lichen1,20,WL,appeal
Tiles3Lichen1,80,NL,appeal
Tiles3Lichen2,10,WL,appeal
Tiles3Lichen2,90,NL,appeal
Tiles3Lichen3,10,WL,appeal
Tiles3Lichen3,90,NL,appeal
