S1S2_1	S1S2_2	S1S3_1	S1S3_3	S2S3_2	S2S3_3	C1C2_1	C1C2_2	C1C3_1	C1C3_3	C2C3_2	C2C3_3	N1N2_1	N1N2_2	N1N3_1	N1N3_3	N2N3_2	N2N3_3
9	-9	8	-8	8	-8	5	-5	2	-2	6	-6	5	-5	8	-8	4	-4
-7	7	-8	8	-6	6	1	-1	0	0	-2	2	-7	7	-4	4	0	0
1	-1	4	-4	0	0	-1	1	2	-2	6	-6	-1	1	0	0	4	-4
7	-7	8	-8	8	-8	5	-5	8	-8	6	-6	1	-1	6	-6	6	-6
-1	1	-6	6	-2	2	3	-3	-6	6	0	0	-1	1	0	0	-2	2
1	-1	-2	2	6	-6	-3	3	4	-4	8	-8	5	-5	8	-8	4	-4
3	-3	-4	4	2	-2	-1	1	6	-6	-2	2	1	-1	0	0	-4	4
5	-5	0	0	0	0	1	-1	2	-2	-2	2	1	-1	2	-2	0	0
-7	7	-8	8	-6	6	1	-1	-2	2	0	0	-5	5	-8	8	-8	8
-3	3	-6	6	0	0	-1	1	-4	4	-6	6	-9	9	-8	8	0	0
